[2025-04-20 13:31:56,977] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2025-04-20 13:31:57,075] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2025-04-20 13:31:57,338] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2025-04-20 13:31:57,339] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2025-04-20 13:31:57,339] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2025-04-20 13:31:57,340] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2025-04-20 13:35:38,741] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2025-04-20 13:35:38,811] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2025-04-20 13:44:42,999] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2025-04-20 13:44:43,000] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2025-04-20 13:44:43,000] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2025-04-20 13:44:43,000] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
